,IP,Country,Download,Upload,Latency,ISP,Timestamp,Latitude,Longitude,ConnectionType,DeviceID,POP,AppID,ExchangeName,Date Time,Radius,CityLat,CityLong,LatLength,LongLength,Distance,City,Hour,Peak End,Peak Start,Peak
0,188.50.64.225 HTTP/1.1,SA,11.205,21.967,97,Saudi Telecom Company Jsc,1542130000000.0,0.0,0.0,fixed,46fa6e26-1ef6-420c-bf8e-a37c3f61a6d1,FRA,com.paltalk.chat.android,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,5463035.296035325,False,17,18,17,True
1,94.49.176.55 HTTP/1.1,SA,25.728,13.919,119,Saudi Telecom Company Jsc,1542130000000.0,0.0,0.0,fixed,9c1ad6af-f285-4ae0-a01d-61b161107f0c,FRA|AMS,com.pixel.art.coloring.color.number,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,5463035.296035325,False,17,18,17,True
2,93.169.215.141 HTTP/1.1,SA,53.298,21.7,144,Saudi Telecom Company Jsc,1542130000000.0,27.959562,45.561021999999994,cellular,730e902c-c1e3-4ecf-aa36-1c4f6d576563,LHR|AMS,com.skout.android,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,379195.6289848963,False,17,18,17,True
3,95.218.125.77 HTTP/1.1,SA,32.834,24.755,105,Saudi Telecom Company Jsc,1542130000000.0,24.770064,46.616147,fixed,9286f30b-2439-4de5-98b8-27f1c8cd1af7,FRA|LHR,com.skout.android,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,13202.391537398104,False,17,18,17,True
4,93.169.85.126 HTTP/1.1,SA,2.4,4.025,155,Saudi Telecom Company Jsc,1542130000000.0,24.561056,46.7864,cellular,0a0ab6f7-6403-47d4-b933-1fdae1ff81c5,AMS|FRA|LHR,com.followers.unfollowers,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,17165.244436127596,False,17,18,17,True
5,188.249.47.78 HTTP/1.1,SA,54.601000000000006,5.079,113,Etihad Atheeb Telecom Company,1542130000000.0,0.0,0.0,none,4c59cb09-7e76-4cc0-bbfd-6b461616a6d9,LHR,com.myyearbook.m,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,5463035.296035325,False,17,18,17,True
6,2001:16a2:fea:ca00:e523:b288:e612:3ca7 HTTP/1.1,SA,7.942,8.883,99,Saudi Telecom Company Jsc,1542130000000.0,0.0,0.0,fixed,38dc9f05-1c4a-480a-8edc-557318e3cde8,LHR|FRA|AMS,com.naver.linewebtoon,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,5463035.296035325,False,17,18,17,True
7,2001:16a2:461:c400:3551:4016:a341:8be0 HTTP/1.1,SA,27.084,14.149000000000001,240,Saudi Telecom Company Jsc,1542130000000.0,26.999907,49.620876,fixed,f4716ac4-9a11-4103-b408-6495b4a47dae,AMS|FRA|LHR,com.skout.android,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,387776.4673153767,False,17,18,17,True
8,2001:16a2:fea:ca00:e523:b288:e612:3ca7 HTTP/1.1,SA,34.975,9.607999999999999,115,Saudi Telecom Company Jsc,1542130000000.0,0.0,0.0,fixed,38dc9f05-1c4a-480a-8edc-557318e3cde8,LHR,com.naver.linewebtoon,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,5463035.296035325,False,17,18,17,True
9,188.50.117.182 HTTP/1.1,SA,4.512,3.057,128,Saudi Telecom Company Jsc,1542130000000.0,0.0,0.0,fixed,4e3c30dc-b2fb-4dab-b0b6-d68387a1d900,FRA|AMS|LHR,com.pixel.art.coloring.color.number,mopub,2018-11-13 17:26:40,10000,24.7059,46.7261,110768.5128,101189.02900000001,5463035.296035325,False,17,18,17,True
